Condition,Staleness %,Precision@5,Recall@5,Stale Intrusion Rate,Fresh AB Retrieved,Stale AB Retrieved
Fresh (0%),0,0.24013840830449829,0.6005767012687427,0.0,1.2006920415224913,0.0
Stale 10%,10,0.23944636678200698,0.5988465974625145,0.011764705882352941,1.1384083044982698,0.058823529411764705
Stale 30%,30,0.23252595155709344,0.5901960784313726,0.03252595155709343,1.041522491349481,0.12110726643598616
Stale 50%,50,0.2290657439446367,0.5815455594002307,0.054671280276816614,0.9307958477508651,0.21453287197231835
