Condition,Staleness %,Mean Rank Shift,Semantic Ambiguity,Inference Time (ms),Total Rerank Latency (ms),Precision@k (before),Precision@k (after),Stale Intrusion (before),Stale Intrusion (after)
Fresh (0%),0,-0.1701268742791234,3.105827454423888,133.34652049318728,133.387292545147,0.24013840830449829,0.24013840830449829,0.0,0.0
Stale 10%,10,-0.15859284890426759,3.1163869344362243,109.4656502086811,109.49784084174873,0.24013840830449829,0.24013840830449829,0.02422145328719723,0.02422145328719723
Stale 30%,30,-0.14215686274509803,3.1505515876375907,112.4504058006313,112.48381080099456,0.23667820069204154,0.23667820069204154,0.10103806228373702,0.10103806228373702
Stale 50%,50,-0.1369665513264129,3.154689679686251,106.46873279426337,106.50053321283994,0.23667820069204154,0.23667820069204154,0.1543252595155709,0.1543252595155709
