Condition,Staleness %,Mean Rank Shift,Semantic Ambiguity,Inference Time (ms),Total Rerank Latency (ms),Precision@k (before),Precision@k (after),Stale Intrusion (before),Stale Intrusion (after)
Fresh (0%),0,-0.1701268742791234,3.1058274544238884,122.91510789864616,122.94782239260557,0.24013840830449829,0.24013840830449829,0.0,0.0
Stale 10%,10,-0.1773356401384083,3.1118881147064554,109.96660641732926,109.99568770913517,0.23944636678200698,0.23944636678200698,0.011764705882352941,0.011764705882352941
Stale 30%,30,-0.18079584775086505,3.2149321497224665,112.46954033531532,112.50702237587899,0.23252595155709344,0.23252595155709344,0.03252595155709343,0.03252595155709343
Stale 50%,50,-0.17474048442906576,3.177321914725842,110.73717938987441,110.77872774592733,0.2290657439446367,0.2290657439446367,0.054671280276816614,0.054671280276816614
